'a'cheng 阿城
'sang'gen'da'lai 桑根达来
'sha'che 莎车
'sha'cheng 沙城
'sha'hai 沙海
'sha'he 沙河
'sha'he'kou 沙河口
'sha'he'shi 沙河市
'sha'hou'suo 沙后所
'sha'ling'zi 沙岭子
'sha'wan'xian 沙湾县
'sha'xian 沙县
'shan'cheng'zhen 山城镇
'shan'dan 山丹
'shan'hai'guan 山海关
'shan'he'tun 山河屯
'shan'shan 鄯善
'shan'shi 山市
'shan'tou 汕头
'shang'ban'cheng 上板城
'shang'ban'cheng'nan 上板城南
'shang'cheng 商城
'shang'du 商都
'shang'hai 上海
'shang'hai'hong'qiao 上海虹桥
'shang'hai'nan 上海南
'shang'hai'xi 上海西
'shang'hang 上杭
'shang'jia 尚家
'shang'luo 商洛
'shang'nan 商南
'shang'qiu 商丘
'shang'qiu'nan 商丘南
'shang'rao 上饶
'shang'yu 上虞
'shang'yuan 上园
'shang'zhi 尚志
'shao'dong 邵东
'shao'guan 韶关
'shao'guan'dong 韶关东
'shao'shan 韶山
'shao'wu 邵武
'shao'xing 绍兴
'shao'yang 邵阳
'she'li'hu 舍力虎
'she'xian 歙县
'she'xian 涉县
'shen'chi 神池
'shen'fang 绅坊
'shen'jia 沈家
'shen'jing'zi 深井子
'shen'mu 神木
'shen'shu 神树
'shen'tou 神头
'shen'yang 沈阳
'shen'yang'bei 沈阳北
'shen'yang'dong 沈阳东
'shen'zhen 深圳
'shen'zhen'bei 深圳北
'shen'zhen'xi 深圳西
'shen'zhou 深州
'shi'bing 施秉
'shi'bo'yuan 世博园
'shi'cheng 石城
'shi'du 十渡
'shi'he'zi 石河子
'shi'jia'zhuang 石家庄
'shi'jia'zhuang'bei 石家庄北
'shi'jing'shan'nan 石景山南
'shi'lin 石林
'shi'lin 石磷
'shi'ling 石岭
'shi'long 石龙
'shi'men'xian 石门县
'shi'qiao'zi 石桥子
'shi'quan'xian 石泉县
'shi'ren 石人
'shi'ren'cheng 石人城
'shi'shan 石山
'shi'tou 石头
'shi'xian 石岘
'shi'yan 十堰
'shi'zong 师宗
'shi'zui'shan 石嘴山
'shou'shan 首山
'shou'yang 寿阳
'shu'cheng 舒城
'shu'lan 舒兰
'shu'le 疏勒
'shu'le'he 疏勒河
'shu'yang 沭阳
'shuang'cheng'bao 双城堡
'shuang'feng 双丰
'shuang'he'zhen 双河镇
'shuang'pai 双牌
'shuang'ya'shan 双鸭山
'shui'dong 水洞
'shui'fu 水富
'shui'quan 水泉
'shun'chang 顺昌
'shun'de 顺德
'shun'yi 顺义
'shuo'zhou 朔州
'si'dao'wan 四道湾
'si'fang'tai 四方台
'si'he'yong 四合永
'si'ping 四平
'si'shui 泗水
'song'he 松河
'song'jiang 松江
'song'jiang'he 松江河
'song'jiang'nan 松江南
'song'jiang'zhen 松江镇
'song'shu 松树
'song'shu'zhen 松树镇
'song'yuan 松原
'song'zi 松滋
'su'jia'tun 苏家屯
'su'ning 肃宁
'su'song 宿松
'su'zhou 宿州
'su'zhou 苏州
'su'zhou'bei 苏州北
'su'zhou'dong 宿州东
'su'zhou'xin'qu 苏州新区
'su'zhou'yuan'qu 苏州园区
'sui'de 绥德
'sui'fen'he 绥芬河
'sui'hua 绥化
'sui'ling 绥棱
'sui'ning 遂宁
'sui'ping 遂平
'sui'xi 遂溪
'sui'yang 绥阳
'sui'zhong 绥中
'sui'zhong'bei 绥中北
'sui'zhou 随州
'sun'jia 孙家
'sun'wu 孙吴
'sun'zhen 孙镇
'suo'lun 索伦
'ta'er'qi 塔尔气
'ta'ha 塔哈
'ta'he 塔河
'tai'an 台安
'tai'an 泰安
'tai'gu 太谷
'tai'he 泰和
'tai'hu 太湖
'tai'kang 泰康
'tai'lai 泰来
'tai'mu'shan 太姥山
'tai'ping'chuan 太平川
'tai'ping'zhen 太平镇
'tai'qian 台前
'tai'shan 泰山
'tai'yang'shan 太阳山
'tai'yang'sheng 太阳升
'tai'yuan 太原
'tai'yuan'bei 太原北
'tai'yuan'dong 太原东
'tai'zhou 台州
'tai'zhou 泰州
'tan'cheng 郯城
'tan'jia'jing 谭家井
'tang'chi 汤池
'tang'gu 塘沽
'tang'guan'tun 唐官屯
'tang'he 唐河
'tang'shan 唐山
'tang'shan'bei 唐山北
'tang'shan'cheng 汤山城
'tang'wang'he 汤旺河
'tang'yin 汤阴
'tang'yuan 汤原
'tao'cun 桃村
'tao'jia'tun 陶家屯
'tao'lai'zhao 陶赖昭
'tao'nan 洮南
'tao'shan 桃山
'teng'zhou 滕州
'teng'zhou'dong 滕州东
'tian'dong 田东
'tian'gang 天岗
'tian'jin 天津
'tian'jin'bei 天津北
'tian'jin'nan 天津南
'tian'jin'xi 天津西
'tian'lin 田林
'tian'men 天门
'tian'qiao'ling 天桥岭
'tian'shi'fu 田师府
'tian'shui 天水
'tian'yang 田阳
'tian'yi 天义
'tian'zhen 天镇
'tian'zhu 天祝
'tian'zhu'shan 天柱山
'tie'chang 铁厂
'tie'li 铁力
'tie'ling 铁岭
'ting'liang 亭亮
'tong'bai 桐柏
'tong'bei 通北
'tong'cheng 桐城
'tong'dao 通道
'tong'gou 通沟
'tong'guan 潼关
'tong'guan'yi 铜罐驿
'tong'hua 通化
'tong'liao 通辽
'tong'ling 铜陵
'tong'nan 潼南
'tong'ren 铜仁
'tong'tu 通途
'tong'xiang 桐乡
'tong'xin 同心
'tong'yuan'bao 通远堡
'tong'zhou'xi 通州西
'tong'zi 桐梓
'tong'zi'lin 桐子林
'tu'gui'wu'la 土贵乌拉
'tu'li'he 图里河
'tu'lie'mao'du 吐列毛杜
'tu'lu'fan 吐鲁番
'tu'men 图们
'tu'mu'er'tai 土牧尔台
'tu'qiang 图强
'tu'xi 土溪
'tuan'jie 团结
'tuo'yao'ling 驼腰岭
'wa'fang'dian 瓦房店
'wai'tou'shan 歪头山
'wan'fa'tun 万发屯
'wan'gou 湾沟
'wan'le 万乐
'wan'nian 万年
'wan'ning 万宁
'wan'yuan 万源
'wan'zhou 万州
'wang'du 望都
'wang'fu 王府
'wang'gang 王岗
'wang'qing 汪清
'wang'tong 王瞳
'wang'yang 王杨
'wang'zhao'tun 王兆屯
'wei'dong 卫东
'wei'fang 潍坊
'wei'hai 威海
'wei'he 苇河
'wei'hui 卫辉
'wei'jin 渭津
'wei'jing 威箐
'wei'nan 渭南
'wei'nan'bei 渭南北
'wei'nan'nan 渭南南
'wei'nan'zhen 渭南镇
'wei'she 威舍
'wei'xing 卫星
'wei'zhang'zi 魏杖子
'wei'zhuang 韦庄
'wei'zi'gou 苇子沟
'wen'an 文安
'wen'chang 文昌
'wen'chun 温春
'wen'deng 文登
'wen'di 文地
'wen'ling 温岭
'wen'shui 文水
'wen'xi 闻喜
'wen'zhou 温州
'wen'zhou'nan 温州南
'wo'ken 倭肯
'wo'li'tun 卧里屯
'wo'pi 沃皮
'wu'an 武安
'wu'bu 吴堡
'wu'cha'gou 五叉沟
'wu'chang 五常
'wu'chang 武昌
'wu'da'lian'chi 五大连池
'wu'dang'shan 武当山
'wu'dao'gou 五道沟
'wu'er'qi'han 乌尔旗汗
'wu'gong 武功
'wu'hai 乌海
'wu'hai'xi 乌海西
'wu'han 武汉
'wu'hu 芜湖
'wu'jia 五家
'wu'jia'tun 吴家屯
'wu'ke'shu 五棵树
'wu'la'shan 乌拉山
'wu'la'te'qian'qi 乌拉特前旗
'wu'lan'ha'da 乌兰哈达
'wu'lan'hao'te 乌兰浩特
'wu'lian 五莲
'wu'long 武隆
'wu'long'bei 五龙背
'wu'lu'mu'qi 乌鲁木齐
'wu'nu'er 乌奴耳
'wu'qiao 吴桥
'wu'qing 武清
'wu'shan 武山
'wu'tai'shan 五台山
'wu'wei 武威
'wu'wei'nan 武威南
'wu'wu 五五
'wu'xi 乌西
'wu'xi 无锡
'wu'xi'dong 无锡东
'wu'xi'xin'qu 无锡新区
'wu'xiang 武乡
'wu'xue 武穴
'wu'yi 武义
'wu'yi'ling 乌伊岭
'wu'yi'shan 武夷山
'wu'ying 五营
'wu'yuan 五原
'wu'zhai 五寨
'wu'zhou 梧州
'xi'an 西安
'xi'an'bei 西安北
'xi'an'nan 西安南
'xi'chang 西昌
'xi'chang'nan 西昌南
'xi'de 喜德
'xi'dou'pu 西斗铺
'xi'feng 息烽
'xi'gang'zi 西岗子
'xi'lin 西林
'xi'lin'hao'te 锡林浩特
'xi'liu 西柳
'xi'ma'shan 西麻山
'xi'ning'xi 西宁西
'xi'ping 西平
'xi'pu 犀浦
'xi'shui 浠水
'xi'xia 西峡
'xi'xian 息县
'xi'xiang 西乡
'xi'xiao'zhao 西小召
'xi'zhe'li'mu 西哲里木
'xi'zi 汐子
'xia'ban'cheng 下板城
'xia'cheng'zi 下城子
'xia'guan'ying 夏官营
'xia'hua'yuan 下花园
'xia'ma'tang 下马塘
'xia'men 厦门
'xia'men'bei 厦门北
'xia'pu 霞浦
'xia'she 下社
'xia'shi 夏石
'xia'tai'zi 下台子
'xia'yi'xian 夏邑县
'xian'lin 仙林
'xian'ning 咸宁
'xian'ning'bei 咸宁北
'xian'ren'qiao 仙人桥
'xian'yang 咸阳
'xiang'fang 香坊
'xiang'fen 襄汾
'xiang'he 襄河
'xiang'lan 香兰
'xiang'tang 向塘
'xiang'yang 向阳
'xiang'yang 襄阳
'xiang'yuan 襄垣
'xiang'yun 祥云
'xiao'dong 小东
'xiao'gan 孝感
'xiao'he'yan 小河沿
'xiao'he'zhen 小河镇
'xiao'lan 小榄
'xiao'ling 小岭
'xiao'nan 孝南
'xiao'shi 小市
'xiao'si'gou 小寺沟
'xiao'xi 孝西
'xiao'yang'qi 小扬气
'xiao'yu'gu 小雨谷
'xie'jia'zhen 谢家镇
'xin'an'xian 新安县
'xin'bao'an 新保安
'xin'cheng'zi 新城子
'xin'chuo'yuan 新绰源
'xin'feng 信丰
'xin'gan 新干
'xin'gu'zhen 新固镇
'xin'he 新和
'xin'hua 新化
'xin'hua 新华
'xin'hua'tun 新华屯
'xin'huang 新晃
'xin'hui 新会
'xin'ji 辛集
'xin'jiang 新绛
'xin'le 新乐
'xin'li'tun 新立屯
'xin'li'zhen 新立镇
'xin'lin 新林
'xin'min 新民
'xin'qing 新青
'xin'qiu 新邱
'xin'song'pu 新松浦
'xin'wo'pu 新窝铺
'xin'xian 新县
'xin'xiang 新乡
'xin'xing'xian 新兴县
'xin'yang 信阳
'xin'yang'zhen 新阳镇
'xin'yi 信宜
'xin'yi 新沂
'xin'you'yi 新友谊
'xin'yu 新余
'xin'zhang'zi 新杖子
'xin'zhao 新肇
'xin'zhou 忻州
'xing'an 兴安
'xing'cheng 兴城
'xing'guo 兴国
'xing'he'xi 兴和西
'xing'kai 兴凯
'xing'long'dian 兴隆店
'xing'long'xian 兴隆县
'xing'long'zhen 兴隆镇
'xing'ning 兴宁
'xing'ping 兴平
'xing'shu 杏树
'xing'shu'tun 杏树屯
'xing'tai 邢台
'xing'ye 兴业
'xing'yi 兴义
'xiong'yue'cheng 熊岳城
'xiu'shan 秀山
'xiu'wu 修武
'xu'chang 许昌
'xu'jia 徐家
'xu'jia'tun 许家屯
'xu'pu 溆浦
'xu'shui 徐水
'xu'wen 徐闻
'xu'zhou 徐州
'xu'zhou'dong 徐州东
'xuan'cheng 宣城
'xuan'gang 轩岗
'xuan'han 宣汉
'xuan'hua 宣化
'xuan'wei 宣威
'xun'yang 旬阳
'xun'yang'bei 旬阳北
'ya'bu'li 亚布力
'ya'bu'li'nan 亚布力南
'ya'ke'shi 牙克石
'ya'long'wan 亚龙湾
'ya'tun'bao 牙屯堡
'ya'yuan 鸭园
'yan'an 延安
'yan'cheng 晏城
'yan'cheng 盐城
'yan'chi 盐池
'yan'chuan 砚川
'yan'dang'shan 雁荡山
'yan'gang 燕岗
'yan'hui 岩会
'yan'ji 延吉
'yan'jiao 燕郊
'yan'jin 盐津
'yan'liang 阎良
'yan'qi 焉耆
'yan'qing 延庆
'yan'shan 燕山
'yan'shi 偃师
'yan'tai 烟台
'yan'tong'shan 烟筒山
'yan'tong'tun 烟筒屯
'yan'zhou 兖州
'yan'zi'bian 燕子砭
'yang'cao 羊草
'yang'cha 阳岔
'yang'chang 羊场
'yang'cheng 阳城
'yang'cheng'hu 阳澄湖
'yang'chun 阳春
'yang'cun 杨村
'yang'gang 杨岗
'yang'gao 阳高
'yang'gu 阳谷
'yang'ling'zhen 杨陵镇
'yang'liu'qing 杨柳青
'yang'ping'guan 阳平关
'yang'qu 阳曲
'yang'quan 阳泉
'yang'quan'bei 阳泉北
'yang'quan'qu 阳泉曲
'yang'shu'ling 杨树岭
'yang'xin 阳新
'yang'yi 阳邑
'yang'zhang'zi 杨杖子
'yang'zhou 扬州
'yao'jia 姚家
'yao'qian'hu'tun 姚千户屯
'ye'bai'shou 叶柏寿
'ye'cheng 叶城
'ye'ji 叶集
'ye'san'po 野三坡
'yi'an 依安
'yi'bin 宜宾
'yi'chang 宜昌
'yi'chang'dong 宜昌东
'yi'cheng 宜城
'yi'chun 伊春
'yi'chun 宜春
'yi'jian'bao 一间堡
'yi'la'ha 伊拉哈
'yi'liang 彝良
'yi'liang'bei 宜良北
'yi'lin 伊林
'yi'ma 义马
'yi'mian'po 一面坡
'yi'mian'shan 一面山
'yi'nan 沂南
'yi'ning 伊宁
'yi'ning'dong 伊宁东
'yi'ping'lang 一平浪
'yi'shui 沂水
'yi'tu'li'he 伊图里河
'yi'wu 义乌
'yi'xian 义县
'yi'yang 益阳
'yi'yang'dong 弋阳东
'yi'zheng 仪征
'yi'zhou 宜州
'yin'chuan 银川
'yin'lang 银浪
'ying'cheng 应城
'ying'cheng'zi 营城子
'ying'chun 迎春
'ying'de 英德
'ying'ji'sha 英吉沙
'ying'kou 营口
'ying'pan'wan 营盘湾
'ying'shan 营山
'ying'shang 颍上
'ying'shou'ying'zi 鹰手营子
'ying'tan 鹰潭
'yong'an 永安
'yong'an'xiang 永安乡
'yong'chuan 永川
'yong'deng 永登
'yong'ding 永定
'yong'fu 永福
'yong'ji 永济
'yong'jia 永嘉
'yong'kang 永康
'yong'lang 永郎
'yong'le'dian 永乐店
'yong'ping 永平
'yong'xiu 永修
'yong'zhou 永州
'you'hao 友好
'you'xian 攸县
'you'yang 酉阳
'yu'cheng 禹城
'yu'cheng'xian 虞城县
'yu'ci 榆次
'yu'du 于都
'yu'hang 余杭
'yu'jiang 余江
'yu'liang'bao 余粮堡
'yu'lin 榆林
'yu'lin 玉林
'yu'men'zhen 玉门镇
'yu'ping 玉屏
'yu'quan 玉泉
'yu'shan 玉山
'yu'she 榆社
'yu'shu 榆树
'yu'shu'tai 榆树台
'yu'shu'tun 榆树屯
'yu'tian'xian 玉田县
'yu'yao 余姚
'yuan'bao'shan 元宝山
'yuan'mou 元谋
'yuan'ping 原平
'yuan'shi 元氏
'yuan'tan 源潭
'yue'liang'tian 月亮田
'yue'qing 乐清
'yue'shan 月山
'yue'xi 越西
'yue'yang 岳阳
'yue'yang'dong 岳阳东
'yun'cheng 运城
'yun'cheng 郓城
'yun'meng 云梦
'za'zi 咋子
'zao'lin 枣林
'zao'qiang 枣强
'zao'yang 枣阳
'zao'zhuang 枣庄
'zao'zhuang'xi 枣庄西
'ze'pu 泽普
'zha'lai'nuo'er'xi 扎赉诺尔西
'zha'lan'tun 扎兰屯
'zha'lu'te 扎鲁特
'zha'shui 柞水
'zhan'jiang 湛江
'zhan'jiang'xi 湛江西
'zhang'dang 章党
'zhang'gu'tai 章古台
'zhang'jia'jie 张家界
'zhang'jia'kou 张家口
'zhang'jia'kou'nan 张家口南
'zhang'mu'tou 樟木头
'zhang'ping 漳平
'zhang'qiao 张桥
'zhang'qiu 章丘
'zhang'shu 樟树
'zhang'shu'dong 樟树东
'zhang'tai'zi 张台子
'zhang'wei'tun 张维屯
'zhang'wu 彰武
'zhang'ye 张掖
'zhang'zhou'dong 漳州东
'zhao'cheng 赵城
'zhao'dong 肇东
'zhao'guang 赵光
'zhao'qing 肇庆
'zhao'tong 昭通
'zhao'yang 朝阳
'zhao'yang'chuan 朝阳川
'zhao'yang'di 朝阳地
'zhe'li'mu 哲里木
'zhen'an 镇安
'zhen'cheng'di 镇城底
'zhen'jiang 镇江
'zhen'jiang'nan 镇江南
'zhen'lai 镇赉
'zhen'ping 镇平
'zhen'xi 镇西
'zhen'yuan 镇远
'zheng'jia'tun 郑家屯
'zheng'xiang'bai'qi 正镶白旗
'zheng'zhou 郑州
'zhi'an 治安
'zhi'cheng 枝城
'zhong'hua'men 中华门
'zhong'jia'cun 钟家村
'zhong'mu 中牟
'zhong'ning 中宁
'zhong'ning'dong 中宁东
'zhong'shan 中山
'zhong'shan 钟山
'zhong'shan'bei 中山北
'zhong'wei 中卫
'zhong'xiang 钟祥
'zhou'jia 周家
'zhou'jia'tun 周家屯
'zhou'kou 周口
'zhou'shui'zi 周水子
'zhu'cheng 诸城
'zhu'hai'bei 珠海北
'zhu'ji 诸暨
'zhu'jia'gou 朱家沟
'zhu'ma'dian 驻马店
'zhu'ri'he 朱日和
'zhu'yang'xi 朱杨溪
'zhu'yuan'ba 竹园坝
'zhu'zhou 株洲
'zhu'zhou'xi 株洲西
'zhuang'zhi 壮志
'zhuo'zhou 涿州
'zhuo'zi'shan 卓资山
'zi'bo 淄博
'zi'chang 子长
'zi'gong 自贡
'zi'xi 资溪
'zi'yang 紫阳
'zi'yang 资阳
'zi'zhong 资中
'zi'zhou 子洲
'zou'cheng 邹城
'zun'yi 遵义
